RH Level,Unit,Part,Unit Name,Language Skill,Thinking Map Skill,Reading Skill,Grammar Skill,Project,Phonics Skill,Genres,Vocabulary Words,Related Words
3,6,1,From Past to Present (Social Studies) ,Ask for and Give Information,Classify Details,Visualize,Pronoun Agreement,"Recite the Song, Write an Interview","Prefixes: un-, Prefixes: re-","Song Lyrics, Biography","heritage, music, region, rhythm, vary, express, feelings, perform, popular, style","feelings, popular, rhythm, music, vary, style, perform, heritage, express, region, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
3,6,2,From Past to Present (Social Studies) ,Give and Follow Instructions,Steps in a Process,Visualize,Pronoun Agreement,Instructions,"Prefixes: mis-, Prefixes: dis-","Descriptive Article, Profile, Folk Tale","artist, carve, storyteller, tale, tradition, wood, communicate, generation, preservation, process, represent","wood, process, generation, carve, artist, storyteller, communicate, tale, represent, tradition, preservation, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid"
3,7,1,Blast! Crash! Splash! (Science) ,Tell an Original Story,Imagery,Draw Conclusions,Adverbs,Informational Presentation,"Suffixes: -sion, -tion, and -ous","Narrative Poem, Photo Essay","erupt, flow, island, lava, magma, ocean, rock, volcano, core, create, develop, force, pressure","rock, magma, core, develop, island, pressure, lava, erupt, volcano, flow, create, force, ocean, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid"
3,7,2,Blast! Crash! Splash! (Science) ,Express Opinions and Ideas,Cause and Effect,Form Generalizations,Prepositional Phrases,Write a Research Report,"Syllable Pattern: Consonant + -le, -al, -el","Historical Fiction, Online Article","earthquake, plate, shore, tsunami, wave, power, rescue, sense, signal, warn","plate, warn, earthquake, tsunami, sense, rescue, signal, shore, wave, power, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
3,8,1,Getting There (Math and Social Studies) ,Ask for and Give Advice,Goal and Outcome,Review,Past Tense,Write a Story,"Suffixes: -ant, -ent","Realistic Fiction, Myth, Folk Tale","distance, feet, kilometer, measurement, meter, unit, achieve, direction, estimate, goal, strategy","unit, achieve, measurement, goal, kilometer, meter, direction, feet, strategy, estimate, distance, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid"
3,8,2,Getting There (Math and Social Studies) ,Express Intentions,Main Ideas and Details,Review,Future Tense,Panel Discussion,Words with More Than One Syllable,"Human Interest Feature, Profile","continent, destination, globe, journey, location, challenge, discover, endurance, explore, prepare","discover, location, endurance, journey, destination, prepare, explore, challenge, globe, continent, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
4,1,1,Living Traditions (Social Studies) ,Express Feelings,Main Idea and Details,Plan and Monitor,Complete Sentences,Write an Interview,,"Interview, Biography","craft, musical, perform, pottery, tradition, weave, create, culture, express, medium, style","medium, weave, craft, pottery, musical, perform, style, express, culture, tradition, create, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid"
4,1,2,Living Traditions (Social Studies) ,Ask for and Give Information,Plot,Monitor and Clarify,Subject-Verb Agreement,Write an Interview,,"Folk Tale, Magazine Article","ancestor, ceremony, marriage, occasion, ritual, belief, custom, influence, relationship, role","marriage, ritual, ceremony, role, influence, relationship, occasion, belief, custom, ancestor, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
4,2,1,Animal Intelligence (Science) ,Express Ideas,Analyze Characters,Make Connections,Kinds of Sentences,Write a Business Letter,,Trickster Tale,"adaptation, defend, predator, prey, trait, behavior, characteristic, response, strategy, survival","response, adaptation, trait, survival, defend, prey, predator, characteristic, behavior, strategy, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter"
4,2,2,Animal Intelligence (Science) ,Engage in Conversation,Main Idea and Details,Make Connections,Compound Sentences,TV Talk Show,,Science Article,"command, imitate, memory, pattern, skill, tool, ability, communication, inherit, language, learn","ability, communication, tool, memory, imitate, inherit, language, pattern, skill, command, learn, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
4,3,1,Amazing Places (Social Studies) ,Give and Follow Directions,Theme,Visualize,Plural Nouns,Write a Research Report,,"Fictional Tale, Free Verse","continent, country, equator, globe, hemisphere, inhabitant, map, border, imagine, range, suggest, transport","hemisphere, inhabitant, equator, imagine, border, range, transport, map, suggest, continent, globe, country, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt"
4,3,2,Amazing Places (Social Studies) ,Describe Places,Main Idea and Details,Visualize,More Plural Nouns,Oral Report,,"Social Studies Article, Profile","canyon, elevation, landform, ocean, plain, plateau, valley, feature, locate, physical, region, surface","canyon, landform, plateau, feature, valley, locate, elevation, plain, physical, surface, ocean, region, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt"
4,4,1,Power of Nature (Science) ,Make Comparisons,Cause and Effect,Ask Questions,Present-Tense Action Verbs,Write a Tall Tale,,"Science Article, Persuasive Essay","convert, electricity, generate, power, renewable, scarce, available, conservation, current, flow, resource","available, electricity, resource, convert, flow, renewable, scarce, generate, conservation, current, power, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer"
4,4,2,Power of Nature (Science) ,Express Needs and Wants,Problem and Solution,Ask Questions,"Forms of the verb ""be"" , Forms of the verb ""have""",Writing Instructions,,"Tall Tale, Lyrical Poetry","atmosphere, element, landscape, material, natural, benefit, force, interact, modify, relate","natural, relate, element, material, modify, atmosphere, landscape, interact, benefit, force, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter"
4,5,1,Invaders! (Science) ,Retell a Story,Plot,Make Inferences,Adjectives,News Report,,"Science Fiction, Science Experiment","decompose, experiment, humid, mold, spore, contain, control, environment, investigate, spread","humid, spore, spread, decompose, contain, mold, experiment, investigate, control, environment, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter"
4,5,2,Invaders! (Science) ,Define and Explain,Problem and Solution,Make Inferences,Possessive Nouns and Adjectives,Write a Persuasive Essay,,"Science Text, Journal","habitat, invade, population, species, threatened, balance, competition, introduce, migration, native","invade, introduce, threatened, migration, species, population, habitat, native, competition, balance, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, control, interact, react, scarce, drought, ecosystem, food chain, level, river, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature, thermometer, alter"
4,6,1,Treasure Hunters (Social Studies) ,Express Intentions,Characters,Summarize,Pronoun Agreement,Narrative Presentation,,"Play, Instructions","adventure, coastal, compass, navigation, port, treasure, chart, discovery, exploration, interpret, legend","exploration, coastal, discovery, interpret, treasure, port, chart, adventure, compass, legend, navigation, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid"
4,6,2,Treasure Hunters (Social Studies) ,Restate an Idea,Sequence,Identify the Main Idea and Details,Possessive Pronouns,Write Historical Fiction,,"History Article, Online Article","archaeologist, artifact, currency, galleon, merchant, colony, examine, preserve, route, trade","examine, galleon, trade, currency, archaeologist, preserve, merchant, colony, artifact, route, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
4,7,1,Moving Through Space (Science) ,Ask and Answer Questions,Compare and Contrast,Draw Conclusions,Adverbs,Informational Presentation,,"Math Article, Science Report","accelerate, height, measure, motion, speed, average, distance, rate, scale, solve","average, solve, accelerate, height, rate, speed, scale, measure, motion, distance, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
4,7,2,Moving Through Space (Science) ,Clarify,Plot,Form Generalizations,Prepositional Phrases,Write a personal narrative essay,,"Realistic Fiction, Biography","astronaut, launch, orbit, planet, rotation, capacity, constant limit resistance technology","technology, orbit, capacity, rotation, launch, planet, limit, astronaut, resistance, constant, action, difference, gift, problem, receive, solution, kindness, need, understand, value, want, improve, individual, neighborhood, offer, volunteer, benefit, duty, identify, impact, learn, amount, behavior, decrease, increase, supply, balance, control, interact, react, scarce, drought, ecosystem, food chain, level, river, competition, nature, negative, positive, resources, blossom, cycle, root, seed, soil, sprout, characteristic, conditions, depend, growth, produce, city, desert, rainforest, vine, weed, diversity, environment, organism, protect, unique, advertisement, buyer, market, money, pay, seller, accomplish, cooperation, plenty, purpose, reward, agriculture, crop, farmer, field, harvest, plow, alternative, conservation, future, method, sustain, form, freeze, liquid, melt, solid, temperature"
